#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,4.34073063819226,0.03910509908985969,4.37983573728212,0.19196966482101022
10,4.340466727049858,0.08431120716961844,4.424777934219477,0.4138896092249865
15,4.3409108610467,0.10820836901930779,4.449119230066008,0.5312024471215637
20,4.34079208593169,0.16339296855470672,4.504185054486396,0.8021075035631485
25,4.34113377837798,0.15722158995669233,4.498355368334672,0.7718117746552122
30,4.341209611802376,0.19386250574209407,4.53507211754447,0.951684591391851
35,4.341363869758641,0.18390302355854501,4.525266893317187,0.902792797199658
40,4.342163559280833,0.21533773941370654,4.55750129869454,1.0571080145730327
45,4.342484841231355,0.20362980728202948,4.546114648513384,0.9996329573714003
50,4.343066053262769,0.24242195889023388,4.585488012153003,1.1900663411303962
55,4.343590622922362,0.23264387752336213,4.576234500445724,1.1420650562269223
60,4.344226413237704,0.2871669281861996,4.631393341423904,1.4097225230118102
65,4.345488966138892,0.3011720651508225,4.646661031289715,1.4784747193096113
70,4.3457636622961076,0.3599002684599992,4.705663930756106,1.766775574369361
75,4.347009024602057,0.44697515347154476,4.793984178073602,2.1942322712973827
80,4.347629343430471,0.46889724241601083,4.816526585846482,2.3018493382475285
85,4.348976142733366,0.4085172366402614,4.757493379373628,2.005439669420811
90,4.349738055113474,0.41367028032728553,4.76340833544076,2.0307363210705844
95,4.3509811929832996,0.3928808145451175,4.743862007528417,1.928679380392852
100,4.3517973302013875,0.41767805579277056,4.769475385994158,2.050410770968259
105,4.3530911869895235,0.4539547775081378,4.807045964497661,2.2284957335584683
110,4.354124947636543,0.39010893040627864,4.744233878042822,1.9150720074046692
115,4.355425941708252,0.42945300040277834,4.78487894211103,2.10821479711009
120,4.356744745608713,0.4933918893927646,4.850136635001478,2.4220952723961964
125,4.358063489736783,0.5848217942473881,4.942885283984172,2.870931066143367
130,4.359686764879093,0.5439710930959837,4.903657857975077,2.670392118787218
135,4.361498045550774,0.5797625884347188,4.941260633985493,2.8460950711779307
140,4.363742603638027,0.588923162894623,4.95266576653265,2.891064971512277
145,4.365477461678446,0.5958026475358386,4.961280109214284,2.924836842481858
150,4.366933065662575,0.6203723021097403,4.987305367772316,3.045450994167846
155,4.36896551170932,0.6352141960597603,5.0041797077690795,3.118310888995043
160,4.370693489531869,0.6892365628104599,5.059930052342329,3.383510463458178
165,4.373065494225686,0.6543735552015106,5.027439049427196,3.21236552223291
170,4.375158290874205,0.6606415209248417,5.035799811799047,3.243135404090324
175,4.376886968522555,0.6909512205861306,5.067838189108686,3.3919278383310005
