#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,255.13150601438758,196.8373990845645,451.96890509895206,986.4195622246788
20,201.21730119542144,249.69594038325454,450.913241578676,1251.311800235243
30,130.7387263737325,320.8531612068652,451.5918875805977,1607.9049829352223
40,158.05387881824305,301.5327707904279,459.58664960867094,1511.083895351128
50,108.95093543631417,342.5363277647144,451.48726320102855,1716.5667502777662
60,147.00178852596468,320.36395964269457,467.36574816865925,1605.4534264982187
70,109.46474235714868,334.46555529001546,443.93029764716414,1676.1213476849018
80,139.52204717017506,316.3539907866302,455.87603795680525,1585.3581003969311
90,188.93575930032063,289.94195884164435,478.877718141965,1452.9983704380718
100,82.11150815508942,343.5023628903844,425.61387104547384,1721.4078828582046
110,80.41391379483952,341.37019668343515,421.78411047827467,1710.7228683933185
120,99.50838069151328,335.1938020969611,434.7021827884744,1679.7708416318842
130,89.58545858891102,341.09591501693535,430.6813736058464,1709.3483491065708
140,121.36607756581652,330.74183300472987,452.1079105705464,1657.4605010999517
150,126.3654426146549,319.4609475689748,445.8263901836297,1600.92812399684
160,98.2873445020921,342.97798367262465,441.26532817471673,1718.7800391616922
170,151.85620054604365,313.37527948387066,465.23148002991434,1570.4307587792975
180,85.59200653307448,347.78497540142746,433.37698193450194,1742.8695196099995
190,63.352719383168974,355.75593082957715,419.1086502127461,1782.814704826402
200,116.22276488528283,329.08686738105644,445.30963226633924,1649.1669020502127
210,166.2545812479604,294.1211338993113,460.3757151472717,1473.9416467159356
220,151.4790390996175,302.5370604914241,454.01609959104155,1516.1167346987856
230,131.3549543272547,310.0581249301031,441.41307925735777,1553.807362219616
240,126.59150530418395,320.4154341372702,447.00693944145416,1605.7113828044958
250,111.72956932624338,333.91012870761506,445.63969803385845,1673.337915020137
260,67.64459856762296,355.36174965573537,423.0063482233583,1780.8393280801813
270,121.50250448033827,330.63526311981485,452.1377676001531,1656.9264429396978
280,114.0512010522921,325.8550990921783,439.9063001444704,1632.9714052820543
290,148.39741911757915,294.00391328612204,442.4013324037012,1473.3542141117473
300,195.807467226092,264.83867643635625,460.64614366244825,1327.1972322611318
310,153.68676548258182,280.4789381495157,434.1657036320976,1405.5759356169212
320,167.78505934014706,273.54752539697387,441.3325847371209,1370.840254467103
330,154.99757342854954,281.3096539249226,436.3072273534722,1409.7389366285224
340,169.88216410750252,290.6417678749665,460.523931982469,1456.5053529703594
350,103.65283442074175,325.0718028773906,428.7246372981324,1629.0460399151243
360,114.67950273031607,329.3283696373008,444.00787236761687,1650.3771524954468
370,100.76091088786191,336.59298719639065,437.3538980842526,1686.7826369495901
380,84.20926847859627,349.3645294627153,433.57379794131157,1750.7852055156866
390,153.8166971448917,315.0280365352636,468.8447336801553,1578.713289917592
400,74.68580066315383,354.20954488131406,428.8953455444679,1775.065235684815
410,116.35001736890806,335.22167657358233,451.57169394249036,1679.9105301725467
420,82.06766392745614,353.2843317692727,435.3519956967288,1770.4286761834762
430,127.092823944211,328.99383543972624,456.0866593839372,1648.7006871577855
440,88.58718106873106,345.3451952605526,433.93237632928367,1730.6429464603905
450,141.54661709558934,324.5741241451328,466.12074124072217,1626.55200148805
460,68.7153637097131,357.5268248502279,426.24218855994104,1791.68926074271
470,144.23932786500913,320.6117811317201,464.8511089967292,1606.6953447812855
480,90.55515814606076,334.3746403503387,424.9297984963995,1675.6657418121729
490,157.27891046730008,287.02228293283616,444.30119340013624,1438.3668753807367
500,233.03890981333453,233.49685727518718,466.5357670885217,1170.1326516475497
510,201.53085430831385,245.68723233138442,447.2180866396983,1231.222792455205
520,207.97642174088975,239.025891827234,447.0023135681238,1197.8405357575812
530,209.7252681505288,240.84239872444098,450.56766687496975,1206.9436734064955
540,190.3063879760797,262.639945588638,452.9463335647177,1316.1786396037257
550,137.49644586609168,304.7212813162861,442.21772718237776,1527.0626126665024
560,138.69585943135363,308.951336826814,447.6471962581676,1548.2608683043368
570,114.78426692448681,327.59789580532754,442.38216272981435,1641.7051559759084
580,86.30697786766494,354.6154953893189,440.92247325698384,1777.0995925918526
590,82.00842758549625,354.30451802101896,436.3129456065152,1775.5411785865529
600,90.27660417914207,354.6918072375251,444.96841141666715,1777.4820173762191
610,82.93824070910904,358.8456834381245,441.78392414723356,1798.2985124243498
620,122.70031327142608,334.8077602427376,457.50807351416364,1677.8362538014485
630,128.39403489387385,329.1483276654542,457.542362559328,1649.4749005663064
640,134.14809605545426,326.0660053334098,460.21410138886404,1634.0283286264673
650,150.90874523534842,309.27248488612094,460.18123012146935,1549.870251122562
660,184.07602188802122,281.5528867836143,465.62890867163554,1410.9578597148118
670,142.59615931115363,311.60690893273727,454.2030682438909,1561.568848832242
680,163.72655126393886,303.7118420153144,467.43839327925326,1522.0039669112357
690,164.97925224813883,302.02902202295144,467.0082742710903,1513.5707800885607
700,122.69665327570317,337.3435604561517,460.04021373185486,1690.5440163914764
710,129.94432061987555,334.8852482439454,464.82956886382095,1678.2245726909714
720,117.06797691751235,338.1666016689233,455.23457858643565,1694.6685575435683
730,110.23262000372375,338.65356990361585,448.8861899073396,1697.1089220023384
740,112.28232716590418,340.97499170354786,453.25731886945204,1708.7423610046696
750,125.79014048525336,324.78248047194154,450.5726209571949,1627.5961463387403
760,140.38984661413735,312.22745550787363,452.617302122011,1564.6786200638924
770,125.79859386816301,315.43030705809826,441.2289009262613,1580.7292051596949
780,134.4215224640631,309.01539506344955,443.4369175275126,1548.5818860480829
790,172.2756014234809,289.7803010505471,462.055902474028,1452.188247929514
800,146.25638486058645,309.7350249306396,455.99140979122603,1552.1881975613355
810,127.69321478802397,320.65002420400606,448.34323899203,1606.886993902834
820,66.08410432595551,359.8193826121267,425.9034869380822,1803.1780521735268
830,107.12889984179427,336.8306818103497,443.9595816521439,1687.973805996403
840,117.58311431031727,337.05524177901236,454.63835608932965,1689.0991528411162
850,68.93203813347155,365.66344880816075,434.5954869416323,1832.4646676516522
860,111.00444289890766,345.06604779862295,456.0704906975306,1729.2440430077268
870,81.44740003564307,352.0241876645014,433.4715877001445,1764.1136628681738
880,106.96150723107871,340.46423852874335,447.42574575982206,1706.1828020720752
890,112.65517466737495,337.3558154196019,450.0109900869769,1690.605430206828
900,104.29842363832348,339.14505514808616,443.4434787864096,1699.5719227427721
910,133.9767112062755,309.61256979344523,443.5892809997207,1551.5745329661663
920,169.40753411141273,279.059004629821,448.46653874123376,1398.460162865404
930,211.54929458779722,246.8798364723451,458.4291310601423,1237.1993399004818
940,176.31030074892362,275.78802330057863,452.09832404950225,1382.0681561337453
950,169.00162478935633,292.7228681594947,461.724492948851,1466.9344586238437
960,95.98824963348551,342.98134794017994,438.96959757366545,1718.796898657624
970,110.1871480939995,335.0461692498878,445.2333173438873,1679.031002916999
980,112.05026620765578,338.16363626482666,450.21390247248246,1694.6536968889143
990,136.11247696436828,327.1706830446238,463.28316000899207,1639.5642466449071
1000,86.27104116272251,355.10692348284044,441.37796464556294,1779.5623069293258
1010,52.72140643006108,377.96241116338535,430.6838175934464,1894.0989765720135
1020,103.34527260546588,351.67810141828295,455.02337402374883,1762.3793062617847
1030,89.51072148734924,355.6201881514636,445.13090963881285,1782.1344518168485
1040,116.61807408338419,341.5026957665229,458.1207698499071,1711.3868666382782
1050,125.14448694793755,336.77268119034386,461.9171681382814,1687.6831450424327
1060,112.61782394164796,347.39990691386987,460.0177308555178,1740.9398096530017
1070,85.74075210706377,362.3732929710632,448.114045078127,1815.9765708998434
1080,87.80641481848986,363.8926763076186,451.69909112610844,1823.5907207141913
1090,99.56359746238822,353.2968150581769,452.8604125205651,1770.491234215808
1100,104.71658380085995,346.2312357247698,450.94781952562977,1735.0831984190695
1110,94.43237574065789,352.73073796138056,447.16311370203846,1767.6544281789256
1120,74.60201191486644,361.78838101185335,436.39039292671976,1813.0453769223418
1130,117.43050173708657,331.59892539983275,449.0294271369193,1661.7556843786142
1140,152.75658644488277,307.69238036795036,460.44896681283313,1541.951806689076
1150,152.59789308490954,296.3392043228064,448.9370974077159,1485.0571566053318
1160,152.23686825031282,293.61105320126865,445.84792145158144,1471.3854577945083
1170,210.28316229292767,257.4411224590672,467.72428475199484,1290.1255579261344
1180,202.74810018186642,241.79339022520497,444.54149040707136,1211.7094172347806
1190,199.34768805875592,236.32998364615474,435.67767170491067,1184.330417354545
1200,205.59766903521256,245.80414229766768,451.40181133288024,1231.8086683014476
1210,175.51297777577201,274.3584442739721,449.8714220497441,1374.9040464465158
1220,128.34712543392075,313.0877685783491,441.43489401226987,1568.9899432489237
1230,96.98851953228402,338.63596835941723,435.6244878917013,1697.0207146413206
1240,134.91117546884007,319.2598210010037,454.1709964698438,1599.9202099416223
1250,158.53907858642742,303.81913018373086,462.3582087701583,1522.541624635903
1260,81.89553343372083,348.0969524753266,429.99248590904745,1744.4329434821445
1270,112.17886365976308,331.09432936971774,443.2731930294808,1659.2269810049606
1280,170.3260894146821,292.42965253107434,462.7557419457564,1465.465054774936
1290,127.20924215773996,317.34628199516584,444.55552415290583,1590.3308111931278
1300,133.3241646308286,309.4356282499521,442.7597928807807,1550.6878183444348
1310,104.5123991398518,335.31630776898714,439.82870690883897,1680.3847594743875
1320,108.41315175877571,333.3808759896386,441.7940277484143,1670.6856485463848
1330,88.65621765654248,353.16793571080854,441.824153367351,1769.8453757051684
1340,76.64434511516718,364.833657788749,441.4780029039162,1828.3063009087832
1350,86.73555441507105,359.5970175996978,446.33257201476886,1802.0637050055886
1360,100.43564772923914,348.62375040575427,449.0593981349934,1747.0729081754907
1370,87.09595121202258,353.86857836132435,440.9645295733469,1773.3565357784676
1380,84.9394875947949,352.02952861247286,436.96901620726777,1764.1404281860675
1390,117.02477278963809,328.86778747929844,445.89256026893656,1648.069017695972
1400,115.27987091542684,323.75666801521567,439.0365389306425,1622.4554490972903
1410,101.20027528645032,337.3470513044698,438.54732659092014,1690.561510226925
1420,102.48743335606713,333.12138602063294,435.60881937670007,1669.3852555173228
1430,144.38030756568676,303.59289614619604,447.9732037118828,1521.407888459225
1440,130.624318750099,315.58274467001473,446.20706342011374,1581.493122195342
1450,126.77742248859853,319.9553271544602,446.7327496430587,1603.4056292705088
1460,137.78370108566565,314.1123361723702,451.89603725803585,1574.1244020573827
1470,118.2017525861792,324.86827600137076,443.0700285875499,1628.0260970949175
1480,108.22481503903659,332.0902170355792,440.3150320746158,1664.217714879482
1490,88.7246557968447,350.48307903791795,439.2077348347626,1756.39064019136
1500,97.91907406492531,347.8974314171296,445.81650548205494,1743.4330751857913
1510,95.99486694007493,347.8889618617314,443.8838288018063,1743.39063134551
1520,113.23863654596232,341.0234134291421,454.26204997510445,1708.9850188409598
1530,91.25311551975058,357.4181600147392,448.6712755344898,1791.144704068265
1540,83.37751909770522,357.31066294884795,440.68818204655315,1790.605999486869
1550,120.1990170030999,337.24220207361805,457.44121907671797,1690.03607485297
1560,95.42404690797223,348.06578741434777,443.48983432232,1744.2767646972673
1570,127.00357401256096,330.2269989560131,457.23057296857405,1654.8804915117566
1580,128.67179487805933,325.07787735416116,453.7496722322205,1629.076481196835
1590,105.95407668529424,337.5933454745888,443.547422159883,1691.7957745923209
1600,83.83913606099071,343.9824970938584,427.8216331548491,1723.8139996480147
1610,129.6726051931678,315.46775385217654,445.1403590453443,1580.9168638586675
1620,95.69098529637205,336.0338416380272,431.72482693439923,1683.980567223685
1630,87.38830214607512,350.7121985397635,438.1005006858386,1757.538836417071
1640,98.6458577563764,349.2538917696555,447.89974952603194,1750.2307621768641
1650,82.46633929466094,355.1173283751466,437.58366766980754,1779.614449405102
1660,86.73000402325249,352.99136731413796,439.72137133739045,1768.9605310498512
1670,109.12218892861836,330.18585794606184,439.3080468746802,1654.6743198329275
1680,111.34344721430509,326.0170771487804,437.36052436308546,1633.7831327506476
1690,113.98098223444521,321.6260861043503,435.6070683387955,1611.7783740822076
1700,152.45112695332932,306.60650909129663,459.05763604462595,1536.5101341495554
1710,102.97311618610077,339.68665721085443,442.6597733969552,1702.2860760090748
1720,92.37102444484358,349.7109213195587,442.08194576440223,1752.5210936414935
1730,93.39426327143252,344.8388817153267,438.2331449867592,1728.1056360308028
1740,90.4610623459346,347.0821951458879,437.5432574918225,1739.3476472664636
1750,100.22268947699652,342.46835681610787,442.69104629310436,1716.2261245954503
1760,120.1893251993831,321.22986861863046,441.4191938180136,1609.7927926803645
1770,117.27879579578826,326.04818451618996,443.3269803119782,1633.9390224133074
1780,70.84122543061562,356.97098541875397,427.8122108493696,1788.9037591499657
1790,114.76320525469066,332.56591002234444,447.3291152770351,1666.601575212633
1800,121.16884447571238,331.5640036092825,452.7328480849949,1661.5806793363465
1810,78.67682397568562,356.18147766162275,434.8583016373084,1784.9472656188366
1820,134.11514343946686,315.20701008412107,449.32215352358793,1579.610187613532
1830,118.08169136127364,324.0737448427599,442.15543620403355,1624.0444295800257
1840,101.13720121203367,333.3369374973741,434.4741387094078,1670.4654577264191
1850,119.67785354046669,325.88412521821704,445.5619787586837,1633.1168651320286
1860,75.20226795717642,357.61239400363945,432.8146619608159,1792.1180770511999
1870,97.7027931259239,345.02835860371033,442.73115172963423,1729.0551695552263
1880,91.18861229574642,342.9061717732802,434.0947840690267,1718.4201651609012
1890,104.28194934279189,331.00845545164736,435.29040479443927,1658.7966374164787
1900,161.4356941509315,285.85530334742043,447.29099749835194,1432.5187413517133
1910,121.75559960802835,313.3756877917176,435.13128739974593,1570.4328049496366
1920,128.70631187200067,318.8820356004465,447.58834747244714,1598.026998025769
1930,91.96845642005285,350.20006326679027,442.1685196868431,1754.9723513176157
1940,80.5830455930026,364.60599532991694,445.1890409229195,1827.1654064241957
1950,100.83372355859265,344.3631889184692,445.1969124770618,1725.7217766493443
1960,119.4556122269121,335.82640171403204,455.2820139409441,1682.9410147810759
1970,85.6962709622384,355.51679171678586,441.21306267902423,1781.6162969016507
1980,96.49449523165597,351.9594289937321,448.45392422538805,1763.7891350093034
1990,115.647996914482,334.3851600016134,450.0331569160954,1675.7184593844097
2000,126.74831797541314,319.5190187197557,446.26733669516886,1601.2191384046587
2010,101.14248585898675,334.0846368084644,435.2271226674511,1674.212434828085
2020,103.88381502264305,333.01200723843516,436.8958222610782,1668.837121011614
2030,75.55231813065183,351.08157671786506,426.6338948485169,1759.389916864348
2040,91.09453221777039,341.5823346148949,432.67686683266527,1711.785964158935
2050,147.3838631345645,310.25076116621403,457.63462430077857,1554.7727283165918
2060,171.28160671518208,294.93519045262906,466.21679716781114,1478.0211626650607
2070,137.38499024225035,309.866302545469,447.25129278771936,1552.8460746108808
