#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,220.44473564416933,173.21397988019874,393.65871552436806,868.0345249391099
20,182.804543242529,210.5876218884357,393.3921651309647,1055.3266338572364
30,73.60631425493138,301.895356692052,375.5016709469834,1512.9009373767406
40,118.43963403637676,283.410699514558,401.8503335509348,1420.2679950309443
50,121.35116057360612,273.44446045731775,394.7956210309239,1370.3237607868923
60,82.35067607695049,299.8282564630612,382.1789325400117,1502.5419907922062
70,71.29264386162174,310.68935868179904,381.9820025434208,1556.970690550031
80,102.11495428953091,290.95302456817734,393.0679788577082,1458.0651667683696
90,137.8197593967809,265.0159072439547,402.8356666407356,1328.0853964842777
100,92.15501766799615,293.06828768361794,385.2233053516141,1468.6654740576696
110,64.43218966131461,317.1044668734208,381.5366565347354,1589.1189928718109
120,58.99956998041019,328.74689480421205,387.7464647846222,1647.4631831330817
130,88.63899116087065,316.0822676961503,404.721258857021,1583.9964030101335
140,94.56663407468828,311.36876588132503,405.9353999560133,1560.3754325119016
150,65.10468169386262,324.7392538218618,389.8439355157244,1627.379522803546
160,38.081352810646436,339.3830542509582,377.4644070616046,1700.7646176877201
170,43.706739130323506,335.7010066739766,379.40774580430013,1682.31261732667
180,114.47116301628245,283.87438090609743,398.3455439223799,1422.591661150194
190,101.38260237194976,292.97782513543854,394.3604275073883,1468.212135273537
200,44.62613659105658,334.86329849368377,379.48943508474036,1678.1145749814675
210,91.45133170174108,295.24857958183077,386.69991128357185,1479.5916628295154
220,112.79786360068198,280.91322508601525,393.7110886866972,1407.7522960635338
230,68.68159679325183,312.2106747314118,380.89227152466367,1564.5945258508607
240,126.92561722737923,258.2263174446567,385.1519346720359,1294.0604386832888
250,196.94531199526176,192.77198423220528,389.71729622746705,966.0463772629986
260,215.2129993377312,174.8989268895453,390.1119262272765,876.4783709717299
270,199.36111297699892,198.1461773204533,397.5072902974522,992.9782978130308
280,136.49567920309406,252.92814795547568,389.42382715856974,1267.509498402551
290,151.49220909589005,250.63145233644715,402.1236614323372,1255.9999707537318
300,118.81904310247106,269.4732866310656,388.2923297335367,1350.4228498551909
310,122.44492507222863,272.14964607670356,394.5945711489322,1363.8350028555863
320,116.11130782334635,282.33364118167714,398.4449490050235,1414.8704871683537
330,76.8591955198135,311.3311736658454,388.19036918565894,1560.187045056525
340,60.99264314917174,327.3095759924339,388.30221914160563,1640.2602867338949
350,57.6078903759341,327.8344200444021,385.44231042033624,1642.8904598736867
360,70.64976582068724,315.4938118973731,386.1435777180603,1581.0474496399002
370,82.40287200787172,306.4867779352049,388.8896499430766,1535.910120355805
380,70.16933059084238,321.00529545348553,391.1746260443279,1608.6673797035628
390,116.94203753060773,285.51364752171816,402.45568505232586,1430.8065870985677
400,81.6497463686632,306.87966792714764,388.52941429581085,1537.8790265477028
410,123.40539180735175,263.45419604539705,386.8595878527488,1320.2591272693467
420,149.89359499689058,247.90476304396276,397.7983580408534,1242.335597668515
430,173.09047354985418,227.5593672381136,400.6498407879678,1140.3778573334503
440,111.37422401698728,272.63509663621676,384.00932065320404,1366.2677617247025
450,121.88894150655668,260.4434088529449,382.33235035950156,1305.1710423924765
460,90.05415674198835,299.33405962189124,389.38821636387956,1500.0654013128346
470,110.49707920866805,277.60114613275186,388.09822534141995,1391.1543350747886
480,62.033293465438625,322.8389546291147,384.87224809455336,1617.8564732889556
490,74.69273151038124,315.0852885791762,389.77802008955746,1579.000199500605
500,76.79781726685154,309.15931342088993,385.9571306877415,1549.303110184363
510,47.19075282241447,337.64947833879626,384.84023116121074,1692.0770755828614
520,67.80382844266964,318.80538317238256,386.60921161505223,1597.6428664791931
530,115.94030062598897,281.734673090502,397.67497371649097,1411.8688531037335
540,96.89779524468818,294.56594079057123,391.46373603525944,1476.1707262556556
550,120.26611313344284,279.3784441329062,399.64455726634907,1400.0609835237549
560,146.6501248771443,247.11416466372933,393.7642895408736,1238.3736386518226
570,159.2375712550521,243.73175537855437,402.96932663360644,1221.4232283036672
580,88.01251432733379,295.599517036491,383.6120313638248,1481.3503305014324
590,116.1989132256244,276.1002652046227,392.2991784302471,1383.6329071603684
600,129.7700289270513,256.89725700371423,386.6672859307655,1287.400062025084
610,151.92766427593034,243.86428896498782,395.79195324091813,1222.087399456699
620,171.19504056011948,234.15615832996568,405.35119889008513,1173.4366348380076
630,156.3665968940999,249.03993470891248,405.40653160301235,1248.024331323792
640,150.2856463777631,251.85967958610598,402.1453259638691,1262.155037786498
650,159.2003757323231,239.4456650453992,398.6460407777223,1199.9441629951993
660,171.39502494018603,236.70957268449524,408.1045976246813,1186.2326679165142
