#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,376.1860078381396,307.2973328400645,683.4833406782041,1539.9720883462844
20,226.30091248464356,458.0140188613689,684.3149313460125,2295.264975452654
30,115.10459151660112,533.4876259950106,648.5922175116117,2673.4890469681486
40,86.59042956648186,556.4057681664972,642.996197732979,2788.339699704565
50,156.49411898395897,528.8818722258692,685.3759912098282,2650.4080387969357
60,117.75772558218118,547.2586974544603,665.0164230366414,2742.5005983479714
70,99.3120376555063,545.5249322684015,644.8369699239078,2733.8121077268484
80,143.15381297298805,526.971218011269,670.125030984257,2640.8330967244747
90,171.38791885927503,519.1407760950339,690.5286949543089,2601.592072798325
100,164.972517011768,523.8816200714274,688.8541370831954,2625.3500642243366
110,175.3756570216118,514.0146083075969,689.3902653292087,2575.9030919019583
120,167.91916603078775,516.5244865270254,684.4436525578132,2588.480950509927
130,170.7166900924125,514.7708771837688,685.4875672761813,2579.6930140266513
140,172.12008245555162,489.50533275301245,661.625415208564,2453.078725315959
150,210.563199154899,438.66406388956494,649.2272630444639,2198.295729764979
160,293.4200148370799,372.16308314181293,665.5830979788929,1865.0365593949853
170,220.28630261499154,427.90903610323585,648.1953387182274,2144.398605285361
180,195.7467109368566,479.65189770199737,675.398608638854,2403.6997905472876
190,166.10145902312712,514.3233959451386,680.4248549682657,2577.450532417129
200,90.7598586012924,553.7865112305462,644.5463698318387,2775.2137069200094
210,142.72241862801835,533.2971026951881,676.0195213232064,2672.5342695179356
220,137.93385569425527,517.9286159133554,655.8624716076107,2595.5175233411674
230,219.7413705271548,453.86106209384263,673.6024326209974,2274.453087998272
240,183.7741023221264,471.1061347685427,654.8802370906691,2360.8740482295248
250,184.25568562354482,482.0725458209586,666.3282314445034,2415.8304865883383
260,202.20501315512948,474.96513572420884,677.1701488793383,2380.2128225225006
270,170.39037154036805,486.9204710271439,657.3108425675119,2440.1250986987575
280,234.65182327498786,430.19687075710885,664.8486940320968,2155.8637276056693
290,299.91943697683,357.3438332110442,657.2632701878742,1790.772227021203
300,216.15604084413766,439.9217438460004,656.0777846901381,2204.598394389768
310,161.0717550871275,486.0635644315025,647.13531951863,2435.8308465247746
320,277.42513983648234,415.5448602272492,692.9700000637315,2082.4374890971717
330,183.1737182173287,463.54995702777137,646.7236752451001,2323.0074559365567
340,229.64260951488768,437.7977945198228,667.4404040347105,2193.9545575261477
350,147.75279481201892,503.89469612040466,651.6474909324236,2525.1887490186036
360,146.08740864308828,505.6249161335215,651.7123247766098,2533.8594735649986
370,196.80599264699478,492.5841958800876,689.3901885270824,2468.507961995999
380,138.51791839527405,524.8229477671579,663.3408661624319,2630.0673794187605
390,158.07732046316752,507.75542095312676,665.8327414162943,2544.536162249397
400,163.90103428753915,508.70857539892904,672.6096096864682,2549.312745335403
410,146.87821283689846,503.7109007793277,650.5891136162261,2524.2676876718915
420,164.7937492540178,489.97845928782493,654.7722085418427,2455.4497242801654
430,203.16209809748938,458.7234471196505,661.8855452171399,2298.8201632127975
440,224.89880562737142,448.70831946579204,673.6071250931634,2248.630931481997
450,165.1048209318531,472.65068819961886,637.755509131472,2368.6143340004223
460,198.3227020308983,480.1812496668276,678.5039516977259,2406.3525543809856
470,116.68346541579484,538.3799316306844,655.0633970464792,2698.0060645971885
480,82.83831667845045,561.6212486919474,644.4595653703979,2814.4762572928703
490,110.2688585154792,557.7936602054632,668.0625187209424,2795.294901631938
500,76.27229087857569,564.6825568743218,640.9548477528974,2829.8175201379217
510,138.13523411376033,534.3505335769287,672.485767690689,2677.81337213783
520,114.9151834975157,537.2762952221325,652.1914787196482,2692.4753649027098
530,176.02977128101236,495.672504844367,671.7022761253793,2483.9845349985217
540,240.04847372596743,442.03066822308006,682.0791419490474,2215.166936092101
550,182.30169334168147,461.0558283074106,643.3575216490921,2310.5085234577073
560,168.55974465676158,489.4148059613853,657.9745506181468,2452.6250645859263
570,183.57446271251888,492.2457402312201,675.820202943739,2466.8118449240346
580,172.12134119038075,490.93905438245196,663.0603955728327,2460.263595003534
590,151.4696874240756,494.55157191403777,646.0212593381134,2478.3671565147533
600,147.61818389926304,485.92857873719663,633.5467626364597,2435.1543870201117
610,194.45633928892607,465.46180075967044,659.9181400485966,2332.5883590872413
620,213.03134772338188,466.0304832042623,679.0618309276442,2335.4382214134453
630,144.0716979849282,503.3430920067605,647.4147899916887,2522.4244720527795
640,168.92619342063918,502.6665947188162,671.5927881394554,2519.0343126535818
650,151.57851184948592,528.3695156276216,679.9480274771075,2647.8404445607953
660,70.17555434797647,574.3157446774511,644.4912990254276,2878.0927205814537
670,128.80491924061147,545.5386785723216,674.343597812933,2733.8809951596136
680,57.85427400074689,591.2174194004574,649.0716934012042,2962.7927961700834
690,84.86737929399163,565.8200605060438,650.6874398000355,2835.517940076666
700,110.87012984800573,561.1941883140422,672.0643181620479,2812.336111604216
