#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,344.78078564178395,199.6707451109577,544.4515307527416,1000.6184287001756
20,204.47885128745227,302.0658528434626,506.54470413091485,1513.7553519332098
30,174.29240922356567,344.8979285118166,519.1903377353823,1728.4015397331239
40,191.2529097375927,341.67219283110296,532.9251025686956,1712.2362744287643
50,77.23756087890139,407.59373548472473,484.8312963636261,2042.5916822322617
60,229.4454159995861,322.3765283406255,551.8219443402115,1615.5390969205719
70,139.92319956355084,368.9416867720586,508.8648863356094,1848.8930398627033
80,172.20128463193856,354.86841201817896,527.0696966501175,1778.3670443641265
90,209.2653374254224,349.93945101870827,559.2047884441306,1753.6663341640717
100,174.264752171349,362.0369811234599,536.3017332948089,1814.2911971495973
110,140.0166197285544,359.4696693926062,499.48628912116055,1801.425519562814
120,125.51152421122451,356.94088981038703,482.45241402161156,1788.7529397580806
130,163.09530958669313,336.8433961483627,499.9387057350558,1688.037521894881
140,200.8197631593444,332.96580813454517,533.7855712938896,1668.6056014932385
150,146.30127687984012,372.5727065723916,518.8739834522318,1867.089322573871
160,170.1632362534996,360.6051037574008,530.7683400109004,1807.1155696969065
170,137.161973182539,369.6255321650551,506.7875053475941,1852.320023130752
180,171.6977689928825,356.31756596237733,528.0153349552598,1785.6292506617124
190,179.15903823560558,352.4066551706725,531.5656934062781,1766.0303384174192
200,249.89517955804703,315.2914607135374,565.1866402715845,1580.0333986155358
210,150.69696742987125,359.49874965511196,510.19571708498324,1801.5712507091496
220,122.3632591444482,373.74990212222707,496.11316126667526,1872.988652296383
230,114.26877348716775,382.0850446909372,496.3538181781049,1914.7589038946323
240,218.48698192004167,331.2029326361786,549.6899145562203,1659.7712291359394
250,260.71482912690743,290.54356967424303,551.2583988011504,1456.0132481842804
260,263.8243333577384,282.3802301018975,546.2045634596359,1415.1039601897514
270,222.00023382675934,308.963162457188,530.9633962839473,1548.3201305847306
280,152.9247666092944,344.8609548942139,497.7857215035083,1728.2162522833853
290,197.90116025488754,313.3224073630227,511.22356761791025,1570.165798489519
300,156.60306364599464,345.3279998966851,501.9310635426798,1730.5567746080021
310,92.21087320589974,393.0680371882327,485.2789103941325,1969.7984375477101
320,114.83043564547954,379.86817374042545,494.698609385905,1903.649404974801
330,153.29922352675746,357.7760260999637,511.0752496267212,1792.9380934788337
340,193.87257363253963,343.00071641091546,536.8732900434551,1718.8939606921397
350,215.30043577631582,333.2361083778381,548.536544154154,1669.960168505901
360,203.6199100399837,338.5233652613336,542.1432753013173,1696.4564219853855
370,207.11774662103403,333.91676101937514,541.0345076404092,1673.3711518038647
380,136.3974334232125,363.48952466045233,499.8869580836648,1821.5703898565523
390,131.5902869778205,369.5248088134203,501.11509579124083,1851.8152639493794
400,200.7766126211866,318.93193054677874,519.7085431679653,1598.2770386752957
410,197.5462326218808,330.10261517900005,527.6488478008808,1654.2571618424981
420,226.98846220636685,326.1648172546467,553.1532794610135,1634.5235089760472
430,165.73807513738814,368.5645563277675,534.3026314651556,1847.0031101568177
440,148.23291980709874,390.19367345660515,538.4265932637039,1955.3940173155142
450,222.61429403917626,337.6882602477631,560.3025542869393,1692.2714249994015
460,202.07748452190066,350.33165412605126,552.409138647952,1755.631798142196
470,156.76436229986518,375.28943230039465,532.0537946002598,1880.7037648280584
480,105.04794042639466,394.47062038113404,499.51856080752873,1976.8272618745902
490,170.8810096104661,370.2049622417465,541.0859718522127,1855.2237455191187
500,179.1686813135683,358.9970669092511,538.1657482228194,1799.0571467997847
510,123.2815817088886,377.0213411327385,500.3029228416271,1889.3829526254938
520,202.07941354786064,339.53852919911355,541.6179427469742,1701.543755854601
530,187.47331077559778,326.42575321269237,513.8990639882902,1635.8311483509888
540,232.62150600134578,304.38823600137016,537.0097420027159,1525.3936086293215
550,205.3068437323152,312.45891156457986,517.7657552968951,1565.8385255655512
560,168.64538842604435,344.1217204493548,512.7671088753991,1724.51169552298
570,229.73456299710787,308.9245392064337,538.6591022035416,1548.1265762587848
580,202.56857468172012,319.80104280112965,522.3696174828498,1602.632457581703
590,143.46172557415105,352.50084630953313,495.9625718836842,1766.5023624453352
600,278.29889659566857,263.6157761361453,541.9146727318139,1321.0688603948677
610,281.73904522830946,270.0007996492145,551.739844877524,1353.0663980978024
620,185.45517321959167,329.62395941894187,515.0791326385336,1651.8584540385502
630,161.19781143640455,348.2714317885634,509.46924322496795,1745.3073190255157
640,157.64834822020822,358.3692510507856,516.0175992709937,1795.9109467019098
650,120.45179326794026,393.39429122259446,513.8460844905347,1971.433408154139
660,227.14869629986572,331.2576540984393,558.406350398305,1660.0454571083599
670,188.94371564195453,351.1245938812953,540.0683095232498,1759.6054905902577
680,150.85668547415267,377.6298737251826,528.4865591993353,1892.4325176788316
690,119.03789530116575,386.27830348815934,505.3161987893251,1935.772758610695
700,163.2103422318956,363.7203325718911,526.9306748037867,1822.7270472804885
710,161.83091496887124,374.3713152541327,536.2022302230039,1876.1027661405294
720,161.38356565502858,364.60341320677674,525.9869788618053,1827.1524665215684
730,151.96292959426634,364.25838414956235,516.2213137438287,1825.423407851036
740,168.17167064143393,343.3823364991174,511.55400714055133,1720.8063895399653
750,169.04923259569665,346.6448245352924,515.694057130989,1737.1558334737595
760,177.63801271249713,352.8723800708575,530.5103927833546,1768.3642452577562
770,177.84568825443634,353.41048502031987,531.2561732747562,1771.0608732926125
780,151.91199719604012,375.71314185484096,527.6251390508811,1882.8271183937484
790,199.73553550234953,346.883773385478,546.6193088878275,1738.353287927488
800,129.85916096194245,391.3129054103106,521.1720663722531,1961.0028716233667
810,210.0966168523875,333.89411507766795,543.9907319300555,1673.2576652407986
820,174.42460476817513,351.42862675632466,525.8532315244997,1761.1291033634557
830,169.67069251996642,345.237858544041,514.9085510640074,1730.1050454446058
840,229.0464001499448,298.01922757978826,527.065627729733,1493.4763280300028
850,236.57832906743806,301.4814244792376,538.0597535466757,1510.8265814156578
860,199.2671658002406,325.8929135466704,525.1600793469111,1633.1609064531697
870,188.54515075498733,334.3093182875048,522.8544690424922,1675.338390602881
880,206.0146321563627,333.2744302655419,539.2890624219046,1670.1522125984782
890,190.07548613444345,346.4777923992211,536.5532785336645,1736.3187782835
900,186.46659924190416,354.0698716690925,540.5364709109966,1774.3652854238642
910,149.0509077185472,378.21747622367997,527.2683839422272,1895.3771948693734
920,189.87229411763536,345.2031391974468,535.0754333150821,1729.9310549182755
930,126.6784109939139,366.8175359569882,493.49594695090207,1838.2481932692938
940,190.9686832901184,327.3817710713947,518.3504543615131,1640.622080978863
950,160.37489715508733,344.58616235886103,504.9610595139484,1726.8391728580016
960,127.94010918631724,361.80239655413845,489.7425057404557,1813.115613600684
970,194.22560225692376,325.8403535628802,520.065955819804,1632.8975103889968
980,282.9116338051753,281.1516089371707,564.063242742346,1408.9469191137864
990,192.59640979819304,342.1187478658818,534.7151576640748,1714.4741145138516
1000,161.58606258339444,358.38624850897867,519.972311092373,1795.9961267812432
1010,172.77572634515548,356.2605837956501,529.0363101408057,1785.3436935256238
1020,134.3809103008933,391.9880024271668,526.3689127280601,1964.3860137849863
1030,190.9797763921976,346.73744192949084,537.7172183216885,1737.6199709286564
1040,148.5064060430618,380.87721010622363,529.3836161492854,1908.706031484034
1050,191.08360636390273,348.23158260586166,539.3151889697644,1745.107621135082
1060,133.60020704368998,379.91837719876077,513.5185842424507,1903.9009916835444
1070,216.91981157980968,336.0315796875613,552.951391267371,1683.969231815888
1080,141.0610239289376,374.7668431863976,515.8278671153352,1878.0848919540529
1090,220.25298078385515,323.42589651138525,543.6788772952405,1620.79783990553
1100,196.57905430901124,345.3767928235614,541.9558471325727,1730.801292660937
1110,100.93118129826107,391.2487280549682,492.1799093532293,1960.68125693502
1120,206.4225333576086,327.3642394384001,533.7867727960087,1640.5342239668112
1130,234.1854397919554,317.1133250338781,551.2987648258335,1589.1633841450193
1140,151.57431398577867,359.5243213794066,511.09863536518526,1801.6993993699296
1150,119.21888602151205,371.18524129039736,490.4041273119094,1860.136259271715
1160,194.0327159696883,324.4214723424772,518.4541883121656,1625.7870110693152
1170,260.9849204068787,290.28096386680846,551.2658842736871,1454.6972406226482
1180,211.03427318823344,316.15403052970686,527.1883037179402,1584.3560311254716
1190,162.75015424824736,348.8254203668811,511.5755746151284,1748.0835453597542
1200,140.05198280974287,363.5945276744719,503.6465104842148,1822.0965958905842
1210,175.28687277761134,346.54341364135763,521.830286418969,1736.6476287826533
1220,197.95021122040296,333.36426184148945,531.3144730618924,1670.602389364846
1230,149.69243971630613,358.4519481616393,508.1443878779454,1796.3253702223635
1240,254.17892552271513,297.1930020026813,551.3719275253964,1489.3358289385749
1250,229.69658557307525,307.0366527628485,536.7332383359237,1538.6657312777395
1260,152.85058990843777,347.75322710139244,500.6038170098302,1742.7104180146343
1270,226.67935180051103,304.6866396905441,531.3659914910552,1526.889011625958
1280,144.39904669212922,362.07429380159266,506.4733404937219,1814.4781837476744
1290,170.71232502837884,356.413539999711,527.1258650280898,1786.1102094039632
