#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,255.80667721564527,93.79046529832452,349.5971425139698,470.0161155892713
20,160.54274715472923,148.80124120848916,309.3439883632184,745.6939377069673
30,147.3491736819378,145.68311916523496,293.03229284717276,730.0679611640211
40,172.15788725410758,144.86055979346693,317.0184470475745,725.9458346820784
50,196.11584593454123,141.38266564968094,337.4985115842222,708.5169170336427
60,212.4491642896367,127.580191734392,340.02935602402874,639.3479972020632
70,162.40382745271114,140.64584440169105,303.04967185440216,704.8244536285162
80,91.09067566146544,188.5803582898224,279.6710339512879,945.0407053412791
90,165.73802836805962,155.76102537278942,321.49905374084904,780.5717977094655
100,190.12902742512622,146.3694547283652,336.4984821534914,733.5074235267164
110,139.38140412959484,160.0357698280805,299.41717395767535,801.9940049415325
120,117.36917116890609,180.6575782755997,298.02674944450575,905.3369436091172
130,163.1739214597114,168.82398414338292,331.9979056030943,846.0347540977076
140,67.91457884562024,210.86871820493994,278.7832970505602,1056.7353036870484
150,72.33406240810619,220.76909024516638,293.10315265327256,1106.349455769936
160,113.25490875721343,195.42904634836887,308.6839551055823,979.3618247420818
170,62.98416509197901,220.0490485067096,283.0332135986886,1102.741080228828
180,136.49443934190458,187.3914448793107,323.8858842212153,939.0826534092062
190,55.616770543977665,218.94349064204084,274.5602611860185,1097.2007514602483
200,145.79762465472723,181.3726436287788,327.17026828350606,908.920380780739
210,99.44614970041205,188.90611965087507,288.35226935128713,946.6732069931691
220,170.26515804820704,156.08141908130636,326.34657712951343,782.1774002177523
230,136.7232643147539,171.98025486699837,308.70351918175226,861.8519067319677
240,152.64224658639102,161.13719454995015,313.7794411363412,807.5136211172336
250,175.91679572528346,155.7632232772146,331.68001900249806,780.5828121606366
260,130.18890877799012,175.1793414741616,305.3682502521517,877.8836244097707
270,208.71809702444764,130.5685617427648,339.28665876721243,654.3237418986188
280,127.13975107975234,169.94310098892475,297.0828520686771,851.643031559164
290,187.58095173868492,146.77568855223473,334.35664029091964,735.5432002264993
300,117.06558128738334,182.30590877773233,299.37149006511567,913.5972917943558
310,129.90846879773574,178.34908300669758,308.2575518044333,893.7682838770819
320,136.37964647385812,169.53089137867374,305.9105378525319,849.5773081489806
330,90.07868139152122,198.66375038275527,288.7424317742765,995.5720335355593
340,128.82070169430554,187.03220825844522,315.8529099527508,937.2823957755592
350,69.27303143543587,201.90001450970945,271.1730459451453,1011.790060486739
360,164.93613499633722,157.25318995465898,322.1893249509962,788.0495450301491
370,116.48377221180257,182.59586153906457,299.0796337508672,915.0503442997707
380,135.11716956766335,169.6827601749808,304.79992974264417,850.3383746549673
390,173.05732063626175,152.44378101489056,325.50110165115234,763.9479511105523
400,126.75791047212849,171.30015355160023,298.0580640237287,858.4436863179435
410,135.06687726385508,169.60498408695682,304.6718613508119,849.9486120638287
420,152.23520420152803,167.96599023088606,320.2011944324141,841.7350530068952
430,139.61387595351496,165.85144683166754,305.4653227851825,831.1383524618626
440,111.07724494973819,181.63222998953515,292.7094749392733,910.2212568618477
450,135.56546463246463,178.86065167976543,314.4261163122301,896.3319295505277
460,155.81737367610907,162.1415585200677,317.95893219617676,812.5468326528724
470,83.08322609191681,198.40387544893701,281.4871015408538,994.2697113160909
480,175.20063856269,150.50509256168644,325.7057311243764,754.2325198754642
490,141.1667275131183,163.2609247843335,304.4276522974518,818.1563600369027
500,122.07110267394526,174.53477158202304,296.6058742559683,874.6534641161298
510,185.67015992273156,143.81801480383038,329.48817472656197,720.72128499254
520,114.35402410515455,171.60258822313088,285.9566123282854,859.9592899465235
530,202.03201760773914,131.72310321472293,333.75512082246206,660.109544284932
540,134.71352619277042,160.51338103263862,295.22690722540904,804.3874781204348
550,211.80695736264173,122.22028820697587,334.0272455696176,612.4876865310767
560,207.2947686809955,122.60896273523308,329.9037314162286,614.4354675919647
570,156.1844937142648,150.72945526878235,306.91394898304713,755.356878174966
580,252.63051209458573,93.18822162279142,345.81873371737714,466.9980664505671
590,210.30305184850096,118.98644696549701,329.28949881399797,596.2818014880964
600,186.83786336433818,128.59652469820378,315.434388062542,644.4411894607508
610,144.43737589445814,163.8366680469602,308.2740439414183,821.0416065384073
620,154.00585573709984,165.25746954361568,319.26332528071555,828.1617290194861
630,193.33828045600055,139.64570462040194,332.9839850764025,699.8124109485636
640,167.9217168802055,148.87895704154843,316.80067392175397,746.0833983398591
650,115.42685739939759,179.51598730153893,294.9428447009365,899.6160405992737
660,107.20111579767064,181.40679734216326,288.6079131398339,909.0915367255021
