#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,317.3341160100284,312.06760281339234,629.4017188234208,1563.8775435121597
20,192.83058390346264,409.23695780121824,602.0675417046809,2050.8264315513024
30,185.70303429642945,430.45130646326015,616.1543407596896,2157.1387919940594
40,174.11621297551793,437.66284467220487,611.7790576477228,2193.278277661505
50,145.9014708109619,446.74470236027565,592.6461731712376,2238.7905742398843
60,196.36270782163896,431.3701686652622,627.7328764869012,2161.743524911986
70,134.78743255076395,447.2775787768067,582.0650113275707,2241.46100030708
80,238.27503835624492,387.04306753932804,625.3181058955729,1939.6052529642448
90,237.61678849678572,375.003596665512,612.6203851622977,1879.271344652114
100,248.19500905705604,353.1579341695241,601.3529432265801,1769.7952545593837
110,191.45901415618576,394.67406587856715,586.1330800347529,1977.8467968788523
120,199.39815540606378,402.84671712701265,602.2448725330764,2018.8027488686625
130,213.87476339305073,396.8513398716356,610.7261032646863,1988.7578618953285
140,217.82744113130622,399.146669692878,616.9741108241842,2000.2605450640813
150,199.98703058438366,414.24850400920513,614.2355345935888,2075.9410044909064
160,241.1239324907141,379.3440787735382,620.4680112642523,1901.0229857566778
170,203.6250909857756,389.09623140119925,592.7213223869749,1949.894359644284
180,191.91828707654838,393.1632170000168,585.0815040765651,1970.2754161539576
190,182.77723611757773,410.04595844445714,592.8231945620348,2054.8806106049506
200,221.35056301274858,402.9590856949658,624.3096487077144,2019.3658662138603
210,237.12555283217785,392.57393507743666,629.6994879096145,1967.322322794658
220,135.74591138319394,462.63445719224603,598.38036857544,2318.419572987607
230,123.22505611106163,459.6754964299158,582.9005525409775,2303.591208086464
240,158.4257276550727,430.5368417669737,588.9625694220464,2157.5674386701294
250,109.79785067942925,465.9555380828919,575.7533887623212,2335.062645764931
260,121.59325299376623,458.2634890607936,579.8567420545598,2296.5151559877
270,118.10843443139507,455.63330158643123,573.7417360178263,2283.334386534865
280,183.250879171804,409.77531153749976,593.0261907093038,2053.524306342041
290,157.36625975072928,421.28276012767526,578.6490198784045,2111.1920689391645
300,126.44325715602197,436.9337466769495,563.3770038329715,2189.624518118636
310,132.6870789180777,434.31779074651774,567.0048696645954,2176.515067802302
320,167.64990686051937,410.5358005301653,578.1857073906847,2057.3353769145574
330,216.91308083891292,396.1369957131385,613.0500765520515,1985.1780388770424
340,229.55105070047568,394.9452385129288,624.4962892134045,1979.205735741682
350,237.3334165837499,382.0000589044138,619.3334754881637,1914.3330110372406
360,201.9567068466542,400.4828075338831,602.4395143805373,2006.9563889958024
370,187.12365084509088,407.2205165207101,594.344167365801,2040.7213542925028
380,265.3205883234944,361.7501496215595,627.0707379450539,1812.8537863432532
390,251.4484625155846,351.289815684107,602.7382781996916,1760.4334735810785
400,284.75920220388934,320.20564504961294,604.9648472535023,1604.6600578989198
410,298.886670070979,323.4997794523557,622.3864495233347,1621.1680926045947
420,158.68744503215973,419.38488151102035,578.0723265431801,2101.6811497596645
430,204.18570461915982,410.1422597273075,614.3279643464673,2055.3632092864646
440,206.4102812551858,404.31672913116034,610.7270103863461,2026.1694820420337
450,152.5455482997741,438.76473804098595,591.3102863407601,2198.8002423872445
460,132.30079160637382,445.4655738811362,577.76636548751,2232.380423728397
470,204.1567242310862,409.6953499095756,613.8520741406618,2053.1235912625975
480,153.04806975736727,442.7343412167834,595.7824109741507,2218.6932822520594
490,137.95308653772673,446.5016041900497,584.4546907277764,2237.572326123586
500,171.70908274329122,434.39114136719274,606.100224110484,2176.882652862212
510,85.75796011823178,474.63581496697054,560.3937750852024,2378.5624835183417
520,187.78233148140987,418.72812064619757,606.5104521276074,2098.3898963302972
530,154.86237857458443,443.3970530383626,598.2594316129471,2222.0143579620803
540,131.3872738377564,447.11402320755576,578.5012970453122,2240.6413673827974
550,195.74177286448756,420.6157486327879,616.3575214972755,2107.8494460949005
560,138.00385293010848,455.6753470500261,593.6791999801346,2283.5450907403956
570,167.60460465069286,431.1655373539642,598.7701420046571,2160.718047388676
580,134.58483093542682,456.5128452508483,591.0976761862751,2287.7420808066177
590,174.25143815530046,435.1451963324524,609.3966344877529,2180.6614803217503
600,156.50836331010092,447.5522141161145,604.0605774262154,2242.837291969291
610,144.32996177560798,451.2911435387986,595.6211053144066,2261.574346723447
620,207.33716623960126,413.77589314598725,621.1130593855885,2073.572589733517
630,276.35325927072904,339.27282846360976,615.6260877343389,1700.2122385493665
640,383.47290709541426,253.02425477527242,636.4971618706867,1267.9911225631606
650,323.73247259132495,288.2718152246393,612.0042878159643,1444.6287092700195
660,258.67893245665095,341.5177119016006,600.1966443582515,1711.462117629495
670,195.873003333277,400.59877419046205,596.4717775237391,2007.5375375943274
680,266.7620340081553,360.2669811195923,627.0290151277476,1805.4211214573115
690,142.88865153729796,444.3459679168161,587.2346194541141,2226.769695125372
700,177.50824373822266,428.2425900971931,605.7508338354157,2146.070158487282
710,196.52814725357553,417.8373636493036,614.3655109028791,2093.926008212434
720,126.43717242342865,466.70538589927486,593.1425583227035,2338.820389761812
730,135.45546469356506,451.44666450126147,586.9021291948266,2262.3537154837677
740,175.46466676749145,436.9817798863239,612.4464466538154,2189.8652289672027
750,148.9882718986815,442.5365115331973,591.5247834318789,2217.7018900126504
760,176.7967334990047,425.8337608979931,602.6304943969978,2133.998691097449
770,164.8941438056586,434.2687900025283,599.1629338081868,2176.2695083067006
780,171.59102685493548,422.18067497575146,593.7717018306869,2115.6918274986338
790,202.0141136959731,412.7703406114264,614.7844543073995,2068.5334218947396
800,204.9376628165822,409.82826439811305,614.7659272146952,2053.789671246412
810,125.10039640699158,459.8646229331531,584.9650193401446,2304.5389857110213
820,125.94234922557403,460.2427896768461,586.1851389024201,2306.4341086678196
830,158.1442193793362,435.319270914905,593.4634902942412,2181.5338276206676
840,165.93278293984662,421.1077794273073,587.0405623671539,2110.315180773311
850,185.69979787559762,414.23081188942217,599.9306097650198,2075.852343224641
860,159.73938669434708,441.9569464278871,601.6963331222341,2214.7974909496693
870,135.3871418297239,454.99862242143683,590.3857642511607,2280.1537920594324
